Date,Open,High,Low,Close
12/31/2019,"3,215.18","3,231.72","3,212.03","3,230.78"
12/30/2019,"3,240.09","3,240.92","3,216.57","3,221.29"
12/27/2019,"3,247.23","3,247.93","3,234.37","3,240.02"
12/26/2019,"3,227.20","3,240.08","3,227.20","3,239.91"
12/24/2019,"3,225.45","3,226.43","3,220.51","3,223.38"
12/23/2019,"3,226.05","3,227.78","3,222.30","3,224.01"
12/20/2019,"3,223.33","3,225.65","3,216.03","3,221.22"
12/19/2019,"3,192.32","3,205.48","3,192.32","3,205.37"
12/18/2019,"3,195.21","3,198.48","3,191.14","3,191.14"
12/17/2019,"3,195.40","3,198.22","3,191.03","3,192.52"
12/16/2019,"3,183.63","3,197.71","3,183.63","3,191.45"
12/13/2019,"3,166.65","3,182.68","3,156.51","3,168.80"
12/12/2019,"3,141.23","3,176.28","3,138.47","3,168.57"
12/11/2019,"3,135.75","3,143.98","3,133.21","3,141.63"
12/10/2019,"3,135.36","3,142.12","3,126.09","3,132.52"
12/09/2019,"3,141.86","3,148.87","3,135.46","3,135.96"
12/06/2019,"3,134.62","3,150.60","3,134.62","3,145.91"
12/05/2019,"3,119.21","3,119.45","3,103.76","3,117.43"
12/04/2019,"3,103.50","3,119.38","3,102.53","3,112.76"
12/03/2019,"3,087.41","3,094.97","3,070.33","3,093.20"
12/02/2019,"3,143.85","3,144.31","3,110.78","3,113.87"
11/29/2019,"3,147.18","3,150.30","3,139.34","3,140.98"
11/27/2019,"3,145.49","3,154.26","3,143.41","3,153.63"
11/26/2019,"3,134.85","3,142.69","3,131.00","3,140.52"
11/25/2019,"3,117.44","3,133.83","3,117.44","3,133.64"
11/22/2019,"3,111.41","3,112.87","3,099.26","3,110.29"
11/21/2019,"3,108.49","3,110.11","3,094.55","3,103.54"
11/20/2019,"3,114.66","3,118.97","3,091.41","3,108.46"
11/19/2019,"3,127.45","3,127.64","3,113.47","3,120.18"
11/18/2019,"3,117.91","3,124.17","3,112.06","3,122.03"
11/15/2019,"3,107.92","3,120.46","3,104.60","3,120.46"
11/14/2019,"3,090.75","3,098.20","3,083.26","3,096.63"
11/13/2019,"3,084.18","3,098.06","3,078.80","3,094.04"
11/12/2019,"3,089.28","3,102.61","3,084.73","3,091.84"
11/11/2019,"3,080.33","3,088.33","3,075.82","3,087.01"
11/08/2019,"3,081.25","3,093.09","3,073.58","3,093.08"
11/07/2019,"3,087.02","3,097.77","3,080.23","3,085.18"
11/06/2019,"3,075.10","3,078.34","3,065.89","3,076.78"
11/05/2019,"3,080.80","3,083.95","3,072.15","3,074.62"
11/04/2019,"3,078.96","3,085.20","3,074.87","3,078.27"
11/01/2019,"3,050.72","3,066.95","3,050.72","3,066.91"
10/31/2019,"3,046.90","3,046.90","3,023.19","3,037.56"
10/30/2019,"3,039.74","3,050.10","3,025.96","3,046.77"
10/29/2019,"3,035.39","3,047.87","3,034.81","3,036.89"
10/28/2019,"3,032.12","3,044.08","3,032.12","3,039.42"
10/25/2019,"3,003.32","3,027.39","3,001.94","3,022.55"
10/24/2019,"3,014.78","3,016.07","3,000.42","3,010.29"
10/23/2019,"2,994.01","3,004.78","2,991.21","3,004.52"
10/22/2019,"3,010.73","3,014.57","2,995.04","2,995.99"
10/21/2019,"2,996.48","3,007.33","2,995.35","3,006.72"
10/18/2019,"2,996.84","3,000.00","2,976.31","2,986.20"
10/17/2019,"3,000.77","3,008.29","2,991.79","2,997.95"
10/16/2019,"2,989.68","2,997.54","2,985.20","2,989.69"
10/15/2019,"2,973.61","3,003.28","2,973.61","2,995.68"
10/14/2019,"2,965.81","2,972.84","2,962.94","2,966.15"
10/11/2019,"2,963.07","2,993.28","2,963.07","2,970.27"
